Name,Card Type,Rating,Current Index,Current Price,General Position,Position,Nation,Club,League
Oblak,TOTSSF,96,66.22,91600.0,Goalkeeper,GK,Slovenia,Atlético de Madrid,ESP 1
Zidane,Icon,96,25.56,3834500.0,Midfielder,CAM,France,Icons,ICO
Sergio Ramos,TOTSSF,96,29.99,496750.0,Defender,CB,Spain,Real Madrid,ESP 1
Kroos,TOTSSF,96,41.04,98500.0,Midfielder,CM,Germany,Real Madrid,ESP 1
Ronaldo,Icon,96,87.34,13100463.0,Forward,ST,Brazil,Icons,ICO
de Ligt,TOTY,96,17.41,270500.0,Defender,CB,Netherlands,Piemonte Calcio,ITA 1
Agüero,TOTSSF,96,15.57,414400.0,Forward,ST,Argentina,Manchester City,ENG 1
Aubameyang,TOTSSF,96,30.41,681625.0,Forward,ST,Gabon,Arsenal,ENG 1
Martínez,TOTSSF,96,18.88,340000.0,Forward,ST,Argentina,Inter,ITA 1
Cruyff,IconMoment,96,81.08,11265462.0,Forward,CF,Netherlands,Icons,ICO
Ziyech,TOTSSF,96,26.74,106167.0,Midfielder,CAM,Morocco,Ajax,NED 1
Handanovic,EuropaLeagueLive,96,164.37,102733.0,Goalkeeper,GK,Slovenia,Inter,ITA 1
Immobile,TOTSSF,96,22.8,108800.0,Forward,ST,Italy,Lazio,ITA 1
Son,TOTSSF,95,16.95,400300.0,Midfielder,LM,Korea Republic,Tottenham Hotspur,ENG 1
Lewandowski,MOTM,95,130.0,134545.0,Forward,ST,Poland,Bayern München,GER 1
Müller,TOTSSF,95,24.01,133286.0,Midfielder,CM,Germany,Bayern München,GER 1
Mahrez,TOTSSF,95,11.55,153500.0,Forward,RW,Algeria,Manchester City,ENG 1
ter Stegen,TOTSSF,95,47.88,105333.0,Goalkeeper,GK,Germany,FC Barcelona,ESP 1
Alexander-Arnold,TOTSSF,95,35.2,211000.0,Defender,RB,England,Liverpool,ENG 1
De Bruyne,TOTWMoments,95,32.34,313000.0,Midfielder,CM,Belgium,Manchester City,ENG 1
Neymar Jr,Headliner,95,46.11,1817222.0,Midfielder,CAM,Brazil,Paris Saint-Germain,FRA 1
Vardy,TOTSSF,95,20.35,168556.0,Forward,ST,England,Leicester City,ENG 1
Maldini,IconMoment,95,46.3,6945288.0,Defender,CB,Italy,Icons,ICO
Cristiano Ronaldo,Shapeshifter,95,27.92,953500.0,Forward,RW,Portugal,Piemonte Calcio,ITA 1
Henry,IconMoment,95,13.61,1705600.0,Forward,ST,France,Icons,ICO
Paulinho,TOTSSF,95,19.92,171400.0,Midfielder,CM,Brazil,Guangzhou Evergrande Taobao,CHN 1
Garrincha,IconMoment,95,27.39,2658593.0,Forward,RW,Brazil,Icons,ICO
Ronaldinho,IconMoment,95,76.16,11424242.0,Midfielder,CAM,Brazil,Icons,ICO
Yashin,IconMoment,95,17.56,767125.0,Goalkeeper,GK,Russia,Icons,ICO
Alexander-Arnold,TOTY,95,11.5,240500.0,Defender,RB,England,Liverpool,ENG 1
Szczęsny,TOTSSF,95,112.67,79429.0,Goalkeeper,GK,Poland,Piemonte Calcio,ITA 1
Haaland,TOTSSF,95,15.08,230667.0,Forward,ST,Norway,Borussia Dortmund,GER 1
de Vrij,TOTSSF,95,46.35,84625.0,Defender,CB,Netherlands,Inter,ITA 1
Reus,TOTSSF,95,19.73,298200.0,Midfielder,CAM,Germany,Borussia Dortmund,GER 1
Promes,TOTSSF,95,15.39,111667.0,Midfielder,LM,Netherlands,Ajax,NED 1
Tévez,TOTSSF,95,17.65,105000.0,Forward,ST,Argentina,Buenos Aires,ARG 1
Verratti,TOTSSF,95,79.54,86125.0,Midfielder,CM,Italy,Paris Saint-Germain,FRA 1
Oršić,TOTSSF,95,24.54,96000.0,Midfielder,LM,Croatia,Dinamo Zagreb,CRO 1
Thiago Silva,TOTSSF,95,47.16,64000.0,Defender,CB,Brazil,Paris Saint-Germain,FRA 1
Maradona,Icon,95,70.44,1456333.0,Midfielder,CAM,Argentina,Icons,ICO
Pele,Icon,95,52.36,2272273.0,Forward,CF,Brazil,Icons,ICO
Messi,Inform,95,13.86,492178.0,Forward,RW,Argentina,FC Barcelona,ESP 1
Goretzka,ChampionsLeagueLive,95,67.06,391000.0,Midfielder,CM,Germany,Bayern München,GER 1
Coman,ChampionsLeagueLive,95,51.84,167500.0,Midfielder,LM,France,Bayern München,GER 1
Messi,TOTYNominee,95,30.24,572929.0,Forward,RW,Argentina,FC Barcelona,ESP 1
Hulk,TOTSSF,94,22.59,94286.0,Forward,RW,Brazil,Shanghai SIPG,CHN 1
Kane,Inform,94,97.53,89021.0,Forward,ST,England,Tottenham Hotspur,ENG 1
Dybala,TOTSSF,94,15.79,169100.0,Forward,ST,Argentina,Piemonte Calcio,ITA 1
Ronaldo,Icon,94,87.04,5500000.0,Forward,ST,Brazil,Icons,ICO
Kaka,IconMoment,94,19.55,1532500.0,Midfielder,CAM,Brazil,Icons,ICO
Best,IconMoment,94,20.59,2338462.0,Forward,LW,Northern Ireland,Icons,ICO
Giggs,IconMoment,94,20.9,377667.0,Midfielder,LM,Wales,Icons,ICO
Matthaus,IconMoment,94,26.05,2044818.0,Midfielder,CM,Germany,Icons,ICO
Baresi,IconMoment,94,17.66,452857.0,Defender,CB,Italy,Icons,ICO
Handanovič,TOTSSF,94,107.69,80111.0,Goalkeeper,GK,Slovenia,Inter,ITA 1
Del Piero,IconMoment,94,13.29,685000.0,Midfielder,CAM,Italy,Icons,ICO
Milinković-Savić,TOTSSF,94,21.23,94875.0,Midfielder,CM,Serbia,Lazio,ITA 1
Alex Telles,TOTSSF,94,36.17,176000.0,Defender,LB,Brazil,FC Porto,POR 1
Pizzi,TOTSSF,94,63.22,102000.0,Midfielder,RM,Portugal,SL Benfica,POR 1
van de Beek,TOTSSF,94,33.52,79750.0,Midfielder,CDM,Netherlands,Ajax,NED 1
Smalling,TOTSSF,94,28.83,78100.0,Defender,CB,England,Roma,ITA 1
Idrissi,TOTSSF,94,104.23,143321.0,Forward,LW,Morocco,AZ,NED 1
Zanetti,IconMoment,94,16.63,616000.0,Midfielder,CDM,Argentina,Icons,ICO
Cannavaro,IconMoment,94,25.53,1015804.0,Defender,CB,Italy,Icons,ICO
Marquinhos,TOTSSF,94,27.43,90000.0,Defender,CB,Brazil,Paris Saint-Germain,FRA 1
Depay,TOTSSF,94,13.71,104300.0,Forward,CF,Netherlands,Olympique Lyonnais,FRA 1
Renato Sanches,TOTSSF,94,12.36,103000.0,Midfielder,CM,Portugal,LOSC Lille,FRA 1
Maldini,Icon,94,39.07,1958455.0,Defender,CB,Italy,Icons,ICO
Ronaldinho,Icon,94,39.64,3765389.0,Forward,LW,Brazil,Icons,ICO
Yashin,Icon,94,49.11,434636.0,Goalkeeper,GK,Russia,Icons,ICO
Garrincha,Icon,94,38.84,1165100.0,Forward,RW,Brazil,Icons,ICO
Mbappe,FUTBirthday,94,81.25,3930957.0,Forward,ST,France,Paris Saint-Germain,FRA 1
Cruyff,Icon,94,62.41,4769558.0,Forward,CF,Netherlands,Icons,ICO
Carlos Alberto,IconMoment,94,24.02,1703030.0,Defender,RB,Brazil,Icons,ICO
Gullit,IconMoment,94,99.97,14995000.0,Forward,CF,Netherlands,Icons,ICO
Zidane,Icon,94,51.58,1986125.0,Midfielder,CAM,France,Icons,ICO
Renato Augusto,TOTSSF,94,94.65,100906.0,Midfielder,CM,Brazil,Beijing Sinobo Guoan,CHN 1
Pirlo,IconMoment,94,11.44,525414.0,Midfielder,CM,Italy,Icons,ICO
Robertson,TOTSSF,94,36.93,173000.0,Defender,LB,Scotland,Liverpool,ENG 1
Hazard,FUTBirthday,94,9.48,154600.0,Forward,ST,Belgium,Real Madrid,ESP 1
Lewandowski,TOTWMoments,94,23.5,129400.0,Forward,ST,Poland,Bayern München,GER 1
Rashford,TOTSSF,94,26.0,234400.0,Midfielder,LM,England,Manchester United,ENG 1
Henderson,TOTSSF,94,16.04,122429.0,Midfielder,CM,England,Liverpool,ENG 1
Salah,Headliner,94,22.15,324067.0,Forward,RW,Egypt,Liverpool,ENG 1
de Jong,TOTY,94,11.13,277600.0,Midfielder,CM,Netherlands,FC Barcelona,ESP 1
Baggio,IconMoment,94,13.42,490000.0,Forward,CF,Italy,Icons,ICO
van Basten,IconMoment,94,4.78,305667.0,Forward,ST,Netherlands,Icons,ICO
Puyol,IconMoment,94,23.24,610078.0,Defender,CB,Spain,Icons,ICO
Messi,Non-Inform,94,17.13,157833.0,Forward,RW,Argentina,FC Barcelona,ESP 1
Eusebio,IconMoment,94,90.73,13609179.0,Forward,CF,Portugal,Icons,ICO
Sommer,TOTSSF,94,88.66,80300.0,Goalkeeper,GK,Switzerland,Borussia M.gladbach,GER 1
de Jong,TOTSSF,94,19.99,252000.0,Midfielder,CM,Netherlands,FC Barcelona,ESP 1
Fernández,TOTSSF,94,72.13,78650.0,Midfielder,CM,Argentina,Nunez,ARG 1
Cristiano Ronaldo,Inform,94,14.15,386200.0,Forward,LW,Portugal,Piemonte Calcio,ITA 1
Havertz,TOTSSF,94,19.12,120111.0,Midfielder,CAM,Germany,Bayer 04 Leverkusen,GER 1
David,TOTSSF,94,38.97,73500.0,Midfielder,CAM,Canada,AA Gent,BEL 1
Santi Cazorla,TOTSSF,94,26.54,87708.0,Midfielder,CM,Spain,Villarreal CF,ESP 1
Carvajal,TOTSSF,94,25.65,103000.0,Defender,RB,Spain,Real Madrid,ESP 1
Kostić,TOTSSF,94,33.45,94192.0,Midfielder,LM,Serbia,Eintracht Frankfurt,GER 1
Kanté,ChampionsLeagueLive,94,29.04,385600.0,Midfielder,CDM,France,Chelsea,ENG 1
Marquinhos,ChampionsLeagueLive,94,33.43,98646.0,Defender,CB,Brazil,Paris Saint-Germain,FRA 1
Messi,ChampionsLeagueRare,94,12.86,189600.0,Forward,RW,Argentina,FC Barcelona,ESP 1
Cristiano Ronaldo,TOTYNominee,94,28.96,573077.0,Forward,ST,Portugal,Piemonte Calcio,ITA 1
Robertson,TOTY,94,15.23,203714.0,Defender,LB,Scotland,Liverpool,ENG 1
Aouar,TOTSSF,94,15.94,83000.0,Midfielder,CM,France,Olympique Lyonnais,FRA 1
Salvio,TOTSSF,94,32.49,94229.0,Midfielder,RM,Argentina,Buenos Aires,ARG 1
Martínez,TOTSSF,94,22.8,96389.0,Forward,ST,Venezuela,Atlanta United FC,USA 1
De Bruyne,Inform,94,21.46,216300.0,Midfielder,CAM,Belgium,Manchester City,ENG 1
Courtois,TOTSSF,93,55.5,78625.0,Goalkeeper,GK,Belgium,Real Madrid,ESP 1
Pozuelo,TOTSSF,93,38.1,71700.0,Midfielder,CAM,Spain,Toronto FC,USA 1
Lala,TOTSSF,93,32.58,145222.0,Defender,RB,France,RC Strasbourg,FRA 1
van Dijk,FUTBirthday,93,54.45,761154.0,Defender,CB,Netherlands,Liverpool,ENG 1
Gomez,TOTSSF,93,50.3,819091.0,Defender,CB,England,Liverpool,ENG 1
Roberto Carlos,IconMoment,93,32.18,1466931.0,Defender,LB,Brazil,Icons,ICO
Thiago,TOTSSF,93,45.72,81389.0,Midfielder,CM,Spain,Bayern München,GER 1
Raul,IconMoment,93,8.53,465375.0,Forward,CF,Spain,Icons,ICO
Piqué,TOTSSF,93,36.97,114273.0,Defender,CB,Spain,FC Barcelona,ESP 1
Sergio Busquets,TOTSSF,93,71.8,68000.0,Midfielder,CDM,Spain,FC Barcelona,ESP 1
Koeman,IconMoment,93,21.29,694083.0,Defender,CB,Netherlands,Icons,ICO
Gerrard,IconMoment,93,11.27,540000.0,Midfielder,CM,England,Icons,ICO
Stoichkov,IconMoment,93,8.63,472667.0,Forward,ST,Bulgaria,Icons,ICO
Schmeichel,IconMoment,93,35.0,425519.0,Goalkeeper,GK,Denmark,Icons,ICO
Shevchenko,IconMoment,93,8.54,311294.0,Forward,ST,Ukraine,Icons,ICO
Parejo,TOTSSF,93,80.51,74250.0,Midfielder,CM,Spain,Valencia CF,ESP 1
Richarlison,TOTSSF,93,16.34,276000.0,Forward,ST,Brazil,Everton,ENG 1
Gullit,Icon,93,73.14,6948737.0,Forward,CF,Netherlands,Icons,ICO
Gerard Moreno,TOTSSF,93,45.84,75050.0,Midfielder,RM,Spain,Villarreal CF,ESP 1
Gignac,TOTSSF,93,183.52,103421.0,Forward,ST,France,Tigres U.A.N.L.,MEX 1
Osimhen,TOTSSF,93,19.99,80125.0,Forward,ST,Nigeria,LOSC Lille,FRA 1
Godín,TOTSSF,93,54.56,74750.0,Defender,CB,Uruguay,Inter,ITA 1
Lineker,IconMoment,93,8.73,215200.0,Forward,ST,England,Icons,ICO
van Nistelrooy,IconMoment,93,9.51,260619.0,Forward,ST,Netherlands,Icons,ICO
Insigne,TOTSSF,93,22.73,109333.0,Forward,LW,Italy,Napoli,ITA 1
Tagliafico,TOTSSF,93,64.74,136750.0,Defender,LB,Argentina,Ajax,NED 1
Nainggolan,TOTSSF,93,19.88,212125.0,Midfielder,CAM,Belgium,Cagliari,ITA 1
Best,Icon,93,20.34,1016800.0,Forward,RW,Northern Ireland,Icons,ICO
Jordi Alba,ChampionsLeagueLive,93,61.3,353500.0,Defender,LB,Spain,FC Barcelona,ESP 1
Henry,Icon,93,16.99,669429.0,Forward,ST,France,Icons,ICO
Depay,ChampionsLeagueLive,93,21.12,84333.0,Forward,CF,Netherlands,Olympique Lyonnais,FRA 1
van Basten,Icon,93,16.3,489000.0,Forward,ST,Netherlands,Icons,ICO
Baggio,Icon,93,9.89,237615.0,Midfielder,CAM,Italy,Icons,ICO
Cristiano Ronaldo,ChampionsLeagueRare,93,10.06,174000.0,Forward,ST,Portugal,Piemonte Calcio,ITA 1
Dybala,ChampionsLeagueLive,93,18.0,109091.0,Midfielder,CAM,Argentina,Piemonte Calcio,ITA 1
Eusebio,Icon,93,61.99,5140842.0,Forward,CF,Portugal,Icons,ICO
Cristiano Ronaldo,Non-Inform,93,10.75,172714.0,Forward,ST,Portugal,Piemonte Calcio,ITA 1
Matthaus,Icon,93,15.64,782125.0,Midfielder,CM,Germany,Icons,ICO
Baresi,Icon,93,10.37,236923.0,Defender,CB,Italy,Icons,ICO
Carlos Alberto,Icon,93,22.4,585000.0,Defender,RB,Brazil,Icons,ICO
Oscar,TOTSSF,93,96.79,94316.0,Midfielder,CM,Brazil,Shanghai SIPG,CHN 1
Hernández,TOTSSF,93,34.54,167500.0,Defender,LB,France,Milan,ITA 1
Rafa,TOTSSF,93,36.1,85500.0,Midfielder,LM,Portugal,SL Benfica,POR 1
Nesta,IconMoment,93,20.82,395625.0,Defender,CB,Italy,Icons,ICO
Seedorf,IconMoment,93,17.7,663333.0,Midfielder,CM,Netherlands,Icons,ICO
De Bruyne,UCLTOTT,93,23.75,175750.0,Midfielder,CAM,Belgium,Manchester City,ENG 1
Rivaldo,IconMoment,93,10.83,492308.0,Midfielder,CAM,Brazil,Icons,ICO
Neymar Jr,TOTYNominee,93,21.86,441667.0,Forward,LW,Brazil,Paris Saint-Germain,FRA 1
Neymar Jr,Inform,93,38.91,795158.0,Midfielder,CAM,Brazil,Paris Saint-Germain,FRA 1
Mbappe,Inform,93,32.04,1257825.0,Forward,ST,France,Paris Saint-Germain,FRA 1
Klose,IconMoment,93,8.6,252364.0,Forward,ST,Germany,Icons,ICO
Kane,Inform,93,57.86,76377.0,Forward,ST,England,Tottenham Hotspur,ENG 1
Desailly,IconMoment,93,10.58,419952.0,Midfielder,CDM,France,Icons,ICO
Figo,IconMoment,93,16.83,670208.0,Forward,RW,Portugal,Icons,ICO
Moore,IconMoment,93,20.4,284364.0,Defender,CB,England,Icons,ICO
Sócrates,IconMoment,93,14.57,642214.0,Midfielder,CAM,Brazil,Icons,ICO
Acerbi,TOTSSF,93,122.21,73867.0,Defender,CB,Italy,Lazio,ITA 1
Sanchez,IconMoment,93,8.45,366250.0,Forward,ST,Mexico,Icons,ICO
Ballack,IconMoment,93,10.39,612333.0,Midfielder,CM,Germany,Icons,ICO
Emilio Butragueno,IconMoment,93,13.82,1111333.0,Forward,ST,Spain,Icons,ICO
Manolas,TOTSSF,93,22.82,77357.0,Defender,CB,Greece,Napoli,ITA 1
Višća,TOTSSF,93,45.84,77469.0,Midfielder,RM,Bosnia Herzegovina,Medipol Başakşehir,TUR 1
Upamecano,TOTSSF,93,34.21,177923.0,Defender,CB,France,RB Leipzig,GER 1
Gnabry,TOTSSF,93,22.54,153333.0,Forward,RW,Germany,Bayern München,GER 1
Lewandowski,Inform,93,34.08,108792.0,Forward,ST,Poland,Bayern München,GER 1
Nedved,IconMoment,93,14.66,615656.0,Midfielder,CAM,Czech Republic,Icons,ICO
Dalglish,IconMoment,93,18.76,1656667.0,Forward,ST,Scotland,Icons,ICO
Bergkamp,IconMoment,93,8.87,401071.0,Forward,CF,Netherlands,Icons,ICO
Drogba,IconMoment,93,12.06,894296.0,Forward,ST,Ivory Coast,Icons,ICO
Pirlo,Icon,92,9.7,232500.0,Midfielder,CM,Italy,Icons,ICO
Moore,Icon,92,12.2,138000.0,Defender,CB,England,Icons,ICO
Maldini,Icon,92,50.71,725731.0,Defender,CB,Italy,Icons,ICO
Garrincha,Icon,92,34.84,463158.0,Forward,RW,Brazil,Icons,ICO
Casemiro,TOTSSF,92,35.88,70857.0,Midfielder,CDM,Brazil,Real Madrid,ESP 1
Atal,TOTSSF,92,11.84,151500.0,Forward,RW,Algeria,OGC Nice,FRA 1
Savanier,TOTSSF,92,63.48,78083.0,Midfielder,CM,France,Montpellier HSC,FRA 1
Zahavi,TOTSSF,92,306.62,166552.0,Forward,ST,Israel,Guangzhou RF,CHN 1
Mandanda,TOTSSF,92,110.74,64000.0,Goalkeeper,GK,France,Olympique de Marseille,FRA 1
Blind,TOTSSF,92,183.92,104793.0,Defender,CB,Netherlands,Ajax,NED 1
Gabriel,TOTSSF,92,51.47,67600.0,Midfielder,CM,Brazil,SL Benfica,POR 1
Moralez,TOTSSF,92,204.89,110364.0,Midfielder,CM,Argentina,New York City FC,USA 1
Mitrović,TOTSSF,92,77.68,77684.0,Forward,ST,Serbia,Fulham,ENG 2
Taarabt,TOTSSF,92,93.08,69556.0,Midfielder,CM,Morocco,SL Benfica,POR 1
Pogba,FUTBirthday,92,10.55,334800.0,Midfielder,CM,France,Manchester United,ENG 1
ter Stegen,TOTWMoments,92,27.95,58417.0,Goalkeeper,GK,Germany,FC Barcelona,ESP 1
Koulibaly,TOTWMoments,92,57.07,72474.0,Defender,CB,Senegal,Napoli,ITA 1
Opara,TOTSSF,92,27.81,85846.0,Defender,CB,United States,Minnesota United FC,USA 1
Kanté,Shapeshifter,92,26.76,249083.0,Defender,CB,France,Chelsea,ENG 1
Mané,Inform,92,59.09,363462.0,Forward,LW,Senegal,Liverpool,ENG 1
Sergio Ramos,Inform,92,83.99,236841.0,Defender,CB,Spain,Real Madrid,ESP 1
Phillips,TOTSSF,92,18.15,145192.0,Midfielder,CDM,England,Leeds United,ENG 2
Griezmann,FUTBirthday,92,9.6,151200.0,Midfielder,CAM,France,FC Barcelona,ESP 1
Dalglish,Icon,92,28.31,718000.0,Forward,ST,Scotland,Icons,ICO
Bergkamp,Icon,92,7.06,162000.0,Forward,CF,Netherlands,Icons,ICO
Martial,EuropaLeagueLive,92,28.13,197000.0,Forward,LW,France,Manchester United,ENG 1
De Bruyne,Inform,92,20.16,107000.0,Midfielder,CM,Belgium,Manchester City,ENG 1
Neymar Jr,ChampionsLeagueRare,92,10.2,100750.0,Forward,LW,Brazil,Paris Saint-Germain,FRA 1
Neymar Jr,Non-Inform,92,12.73,91222.0,Forward,LW,Brazil,Paris Saint-Germain,FRA 1
Hazard,OnesToWatch,92,21.17,164417.0,Forward,LW,Belgium,Real Madrid,ESP 1
Kane,UCLTOTT,92,50.17,65222.0,Forward,ST,England,Tottenham Hotspur,ENG 1
Rivaldo,Icon,92,9.17,229909.0,Forward,LW,Brazil,Icons,ICO
De Bruyne,TOTYNominee,92,42.98,142000.0,Midfielder,CAM,Belgium,Manchester City,ENG 1
Zanetti,Icon,92,16.02,294250.0,Defender,RB,Argentina,Icons,ICO
Emilio Butragueno,Icon,92,16.98,552000.0,Forward,ST,Spain,Icons,ICO
Sanchez,Icon,92,10.82,177333.0,Forward,ST,Mexico,Icons,ICO
Schmeichel,Icon,92,39.57,159571.0,Goalkeeper,GK,Denmark,Icons,ICO
Mahrez,ChampionsLeagueLive,92,29.49,94143.0,Forward,RW,Algeria,Manchester City,ENG 1
Hazard,Inform,92,8.41,89571.0,Forward,LF,Belgium,Real Madrid,ESP 1
Oblak,ChampionsLeagueMOTM,92,74.27,75700.0,Goalkeeper,GK,Slovenia,Atlético de Madrid,ESP 1
Laudrup,IconMoment,92,12.26,198700.0,Forward,CF,Denmark,Icons,ICO
Riquelme,IconMoment,92,2.71,399250.0,Midfielder,CAM,Argentina,Icons,ICO
Tévez,LibertadoresSpecial,92,12.01,78063.0,Midfielder,CAM,Argentina,Buenos Aires,ARG 1
Kluivert,IconMoment,92,8.42,225900.0,Forward,ST,Netherlands,Icons,ICO
Essien,IconMoment,92,14.51,912400.0,Midfielder,CDM,Ghana,Icons,ICO
Hagi,IconMoment,92,8.84,203703.0,Midfielder,LM,Romania,Icons,ICO
Shearer,IconMoment,92,12.05,172286.0,Forward,ST,England,Icons,ICO
Overmars,IconMoment,92,14.64,274957.0,Midfielder,LM,Netherlands,Icons,ICO
Aubameyang,Headliner,92,18.39,242583.0,Forward,ST,Gabon,Arsenal,ENG 1
Martínez,FutureStars,92,4.69,120500.0,Forward,ST,Argentina,Inter,ITA 1
Vieira,IconMoment,92,27.25,3869500.0,Midfielder,CM,France,Icons,ICO
Lampard,IconMoment,92,11.62,297556.0,Midfielder,CM,England,Icons,ICO
Haaland,FutureStars,92,4.54,176765.0,Forward,ST,Norway,Borussia Dortmund,GER 1
João Félix,FutureStars,92,3.88,98893.0,Forward,ST,Portugal,Atlético de Madrid,ESP 1
Cuadrado,TOTSSF,92,41.03,98813.0,Defender,RB,Colombia,Piemonte Calcio,ITA 1
Petit,IconMoment,92,16.98,578167.0,Midfielder,CDM,France,Icons,ICO
Fernando Hierro,IconMoment,92,16.09,346867.0,Defender,CB,Spain,Icons,ICO
Larsson,IconMoment,92,6.23,204000.0,Forward,ST,Sweden,Icons,ICO
Rush,IconMoment,92,6.56,195000.0,Forward,ST,Wales,Icons,ICO
Owen,IconMoment,92,9.33,226152.0,Forward,ST,England,Icons,ICO
Pires,IconMoment,92,11.13,200455.0,Midfielder,LM,France,Icons,ICO
Scholes,IconMoment,92,13.89,276078.0,Midfielder,CM,England,Icons,ICO
Zola,IconMoment,92,11.12,336190.0,Forward,CF,Italy,Icons,ICO
Blanc,IconMoment,92,18.04,722118.0,Defender,CB,France,Icons,ICO
Oblak,TOTYNominee,92,76.95,86950.0,Goalkeeper,GK,Slovenia,Atlético de Madrid,ESP 1
Hazard,TOTYNominee,92,38.96,164625.0,Forward,LW,Belgium,Real Madrid,ESP 1
Salah,Inform,92,13.39,167385.0,Forward,ST,Egypt,Liverpool,ENG 1
Iličić,Headliner,92,85.82,62042.0,Forward,ST,Slovenia,Atalanta,ITA 1
Sterling,Headliner,92,15.57,96750.0,Forward,LW,England,Manchester City,ENG 1
van Dijk,Inform,92,50.14,594078.0,Defender,CB,Netherlands,Liverpool,ENG 1
Mbappe,Inform,92,29.61,906778.0,Forward,ST,France,Paris Saint-Germain,FRA 1
Puyol,Icon,92,22.82,286833.0,Defender,CB,Spain,Icons,ICO
