Name,Rating,Position,General Position,Skills,Weakfoot,Age,Height(cm),Weight(kg),Workrate,Foot,Card Type,Nation,Club,League,Total Stats,Average Price,Median Price,Current Price,PAC,Acceleration,Sprint Speed,SHO,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,PAS,Vision,Crossing,FK.Acc.,Short Pass,Long Pass,Curve,DRI,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,DEF,Interceptions,Heading Acc.,Def. Awareness,Stand Tackle,Slide Tackle,PHY,Jumping,Stamina,Strength,Aggression
Cristiano Ronaldo,99,ST,Forward,5,4,34,187,83,HIGH/LOW,Right,TOTSSF,Portugal,Piemonte Calcio,ITA 1,2486,3481298.09,3119800.0,2939571.0,98,96.0,99.0,99,99.0,99.0,99.0,99.0,92.0,90.0,92,92.0,94.0,85.0,93.0,86.0,90.0,99,96.0,78.0,99.0,99.0,99.0,99.0,43,35.0,99.0,34.0,39.0,29.0,94,99.0,99.0,94.0,75.0
De Bruyne,98,CAM,Midfielder,4,5,28,181,70,HIGH/HIGH,Right,TOTY,Belgium,Manchester City,ENG 1,2620,2027409.13,2200064.5,1047818.0,88,89.0,88.0,96,98.0,91.0,99.0,99.0,91.0,88.0,99,99.0,99.0,89.0,99.0,97.0,91.0,96,86.0,83.0,99.0,99.0,94.0,99.0,82,82.0,73.0,91.0,77.0,68.0,93,75.0,99.0,88.0,90.0
Mané,98,LW,Forward,4,4,27,175,69,HIGH/MED,Right,TOTSSF,Senegal,Liverpool,ENG 1,2553,1057702.0,852312.5,923250.0,99,99.0,97.0,97,99.0,99.0,98.0,89.0,87.0,82.0,95,99.0,91.0,78.0,99.0,87.0,93.0,98,99.0,95.0,99.0,96.0,99.0,93.0,58,46.0,99.0,55.0,55.0,50.0,90,99.0,99.0,81.0,91.0
Mbappe,98,ST,Forward,5,4,20,178,73,HIGH/LOW,Right,TOTY,France,Paris Saint-Germain,FRA 1,2506,3914546.78,3752375.0,2480667.0,99,99.0,99.0,96,99.0,99.0,94.0,90.0,90.0,80.0,93,95.0,93.0,75.0,97.0,83.0,94.0,98,99.0,90.0,96.0,98.0,99.0,91.0,55,53.0,99.0,47.0,47.0,45.0,90,91.0,99.0,91.0,74.0
Pele,98,CAM,Midfielder,5,4,78,173,70,HIGH/MED,Right,Icon,Brazil,Icons,ICO,2513,4652734.85,3803875.0,3569600.0,95,95.0,95.0,96,97.0,98.0,94.0,94.0,95.0,93.0,93,97.0,90.0,89.0,96.0,88.0,89.0,96,94.0,93.0,98.0,97.0,96.0,98.0,60,67.0,94.0,55.0,53.0,49.0,76,88.0,86.0,76.0,59.0
Neymar Jr,98,LW,Forward,5,5,27,175,68,HIGH/MED,Right,TOTSSF,Brazil,Paris Saint-Germain,FRA 1,2418,4134002.72,3823437.5,3575842.0,98,99.0,95.0,96,98.0,98.0,90.0,94.0,98.0,99.0,98,99.0,98.0,98.0,98.0,91.0,99.0,99,99.0,87.0,95.0,99.0,99.0,97.0,38,42.0,73.0,32.0,30.0,34.0,67,70.0,93.0,56.0,58.0
Mbappe,98,ST,Forward,5,4,20,178,73,HIGH/LOW,Right,TOTSSF,France,Paris Saint-Germain,FRA 1,2503,2673312.16,2648551.0,2650769.0,99,99.0,99.0,97,99.0,99.0,95.0,91.0,91.0,80.0,92,94.0,92.0,74.0,96.0,82.0,93.0,98,99.0,90.0,96.0,98.0,99.0,91.0,55,53.0,99.0,47.0,47.0,45.0,90,91.0,99.0,91.0,74.0
Ronaldo,97,ST,Forward,5,5,42,183,82,MED/MED,Right,IconMoment,Brazil,Icons,ICO,2418,14998206.93,15000000.0,15000000.0,98,98.0,98.0,97,99.0,99.0,94.0,91.0,91.0,90.0,82,84.0,74.0,91.0,86.0,74.0,85.0,98,91.0,86.0,99.0,99.0,99.0,98.0,46,50.0,83.0,41.0,53.0,42.0,82,82.0,83.0,93.0,65.0
Maradona,97,CAM,Midfielder,5,3,58,165,70,HIGH/MED,Left,Icon,Argentina,Icons,ICO,2392,2820399.63,2386902.0,2489923.0,92,94.0,90.0,93,92.0,97.0,85.0,94.0,88.0,94.0,92,95.0,88.0,96.0,93.0,89.0,96.0,97,91.0,98.0,94.0,97.0,98.0,95.0,40,44.0,67.0,27.0,42.0,37.0,76,82.0,78.0,75.0,76.0
Luis Alberto,97,CM,Midfielder,4,3,26,183,74,MED/MED,Right,TOTSSF,Spain,Lazio,ITA 1,2499,153423.07,140200.0,144500.0,91,96.0,87.0,96,99.0,97.0,97.0,96.0,96.0,70.0,97,98.0,87.0,93.0,99.0,99.0,99.0,98,93.0,85.0,92.0,99.0,99.0,83.0,72,61.0,72.0,70.0,82.0,60.0,79,72.0,93.0,87.0,38.0
Zidane,97,CAM,Midfielder,5,5,47,185,78,MED/MED,Right,IconMoment,France,Icons,ICO,2608,7920739.67,7109228.5,8531723.0,87,88.0,86.0,96,96.0,97.0,96.0,96.0,99.0,90.0,97,98.0,95.0,92.0,98.0,97.0,92.0,96,80.0,89.0,97.0,98.0,98.0,99.0,76,86.0,88.0,65.0,79.0,68.0,88,79.0,90.0,90.0,82.0
Alisson,97,GK,Goalkeeper,1,3,26,191,91,MED/MED,Right,TOTY,Brazil,Liverpool,ENG 1,0,302034.09,186467.0,118286.0,97,,,92,,,,,,,95,,,,,,,97,,,,,,,70,,,,,,95,,,,
Messi,97,RW,Forward,4,4,32,170,72,MED/LOW,Left,LaLigaPOTM,Argentina,FC Barcelona,ESP 1,2389,,,,92,96.0,88.0,95,97.0,98.0,88.0,97.0,90.0,77.0,95,97.0,90.0,97.0,95.0,95.0,96.0,99,95.0,97.0,97.0,99.0,99.0,99.0,43,44.0,77.0,36.0,40.0,28.0,71,73.0,80.0,73.0,51.0
Lewandowski,97,ST,Forward,4,4,31,184,80,HIGH/MED,Right,Headliner,Poland,Bayern München,GER 1,2482,561434.3,559611.0,260667.0,90,90.0,90.0,98,99.0,99.0,98.0,94.0,99.0,96.0,89,92.0,74.0,99.0,98.0,78.0,92.0,95,87.0,91.0,99.0,98.0,95.0,96.0,49,46.0,99.0,40.0,50.0,22.0,91,93.0,86.0,93.0,89.0
Salah,97,RW,Forward,4,3,27,175,71,HIGH/MED,Left,TOTSSF,Egypt,Liverpool,ENG 1,2493,655937.01,612924.5,669500.0,99,99.0,97.0,97,99.0,99.0,90.0,94.0,89.0,86.0,95,98.0,92.0,80.0,98.0,87.0,97.0,97,99.0,95.0,99.0,97.0,97.0,99.0,53,64.0,69.0,44.0,50.0,48.0,84,78.0,96.0,82.0,71.0
Mané,97,LW,Forward,4,4,27,175,69,HIGH/MED,Right,TOTY,Senegal,Liverpool,ENG 1,2521,1466375.58,1509000.0,701500.0,99,99.0,97.0,95,99.0,99.0,96.0,88.0,85.0,81.0,92,99.0,88.0,76.0,96.0,84.0,90.0,97,99.0,94.0,99.0,95.0,98.0,92.0,57,45.0,99.0,54.0,54.0,49.0,88,99.0,99.0,79.0,89.0
Kanté,97,CDM,Midfielder,2,3,28,168,72,MED/HIGH,Right,TOTY,France,Chelsea,ENG 1,2587,2090086.29,2366365.0,1439643.0,91,92.0,89.0,88,97.0,88.0,96.0,85.0,75.0,73.0,95,97.0,83.0,60.0,99.0,99.0,60.0,95,96.0,99.0,99.0,93.0,92.0,99.0,97,99.0,60.0,99.0,99.0,94.0,93,86.0,99.0,81.0,99.0
Suárez,97,ST,Forward,3,4,32,182,86,HIGH/MED,Right,TOTSSF,Uruguay,FC Barcelona,ESP 1,2556,638201.08,483545.0,369750.0,91,94.0,87.0,99,99.0,99.0,97.0,95.0,99.0,92.0,93,95.0,90.0,95.0,95.0,83.0,99.0,96,90.0,90.0,99.0,96.0,97.0,97.0,59,47.0,96.0,65.0,52.0,43.0,95,78.0,92.0,97.0,98.0
Alisson,97,GK,Goalkeeper,1,3,26,191,91,MED/MED,Right,TOTSSF,Brazil,Liverpool,ENG 1,0,133294.03,129659.5,118500.0,98,,,92,,,,,,,95,,,,,,,96,,,,,,,70,,,,,,96,,,,
Messi,97,CAM,Midfielder,4,4,32,170,72,MED/LOW,Left,TOTWMoments,Argentina,FC Barcelona,ESP 1,2398,1582617.92,1397431.0,1526500.0,92,96.0,88.0,95,97.0,98.0,88.0,97.0,90.0,77.0,95,97.0,90.0,97.0,95.0,95.0,96.0,99,95.0,97.0,97.0,99.0,99.0,99.0,44,45.0,78.0,37.0,41.0,29.0,72,74.0,81.0,74.0,52.0
Varane,97,CB,Defender,2,3,26,191,81,MED/HIGH,Right,TOTSSF,France,Real Madrid,ESP 1,2257,983461.99,933889.0,818333.0,95,90.0,98.0,53,51.0,47.0,61.0,62.0,49.0,50.0,76,72.0,44.0,63.0,91.0,93.0,56.0,80,78.0,47.0,99.0,96.0,68.0,99.0,97,93.0,94.0,99.0,98.0,97.0,93,91.0,83.0,99.0,89.0
Kane,97,ST,Forward,4,4,26,188,89,HIGH/HIGH,Right,PlayerMoments,England,Tottenham Hotspur,ENG 1,2505,,,,90,87.0,92.0,99,99.0,99.0,97.0,93.0,92.0,97.0,92,94.0,87.0,79.0,94.0,96.0,90.0,93,81.0,83.0,99.0,96.0,91.0,99.0,55,40.0,99.0,65.0,42.0,44.0,94,89.0,98.0,95.0,88.0
David Silva,97,CAM,Midfielder,4,3,33,173,67,HIGH/MED,Left,SBCSpecial,Spain,Manchester City,ENG 1,2497,,,,91,96.0,85.0,93,99.0,90.0,90.0,91.0,99.0,94.0,98,99.0,93.0,85.0,99.0,93.0,91.0,99,96.0,97.0,99.0,99.0,96.0,99.0,64,61.0,66.0,72.0,65.0,35.0,73,81.0,93.0,61.0,73.0
Ben Yedder,97,ST,Forward,4,5,29,170,68,HIGH/HIGH,Right,TOTSSF,France,AS Monaco,FRA 1,2516,3738186.8,3601375.0,3148387.0,97,99.0,93.0,97,99.0,99.0,95.0,81.0,98.0,89.0,94,97.0,90.0,92.0,97.0,80.0,97.0,98,99.0,99.0,95.0,96.0,98.0,96.0,52,58.0,98.0,45.0,44.0,34.0,84,99.0,93.0,81.0,75.0
Werner,97,ST,Forward,3,4,23,180,75,HIGH/MED,Right,TOTSSF,Germany,RB Leipzig,GER 1,2424,695439.4,533066.0,430647.0,99,99.0,99.0,98,99.0,99.0,95.0,84.0,99.0,87.0,90,81.0,92.0,75.0,99.0,73.0,84.0,96,94.0,88.0,99.0,98.0,97.0,86.0,47,49.0,99.0,52.0,26.0,25.0,86,88.0,99.0,81.0,78.0
Benzema,97,CF,Forward,4,4,31,185,81,MED/LOW,Right,TOTSSF,France,Real Madrid,ESP 1,2491,451958.76,396800.0,277167.0,92,94.0,89.0,98,99.0,99.0,98.0,90.0,99.0,98.0,95,99.0,89.0,86.0,99.0,85.0,96.0,96,87.0,77.0,94.0,99.0,96.0,97.0,48,48.0,99.0,57.0,29.0,22.0,94,94.0,96.0,97.0,79.0
Buffon,97,GK,Goalkeeper,1,2,40,192,92,MED/MED,Right,Flashback,Italy,Piemonte Calcio,ITA 1,70,,,,98,,,96,,,,,,,90,,,,,,,98,,,,,,,60,,,,,,99,,,,
Iličić,96,ST,Forward,4,4,31,190,79,MED/MED,Left,TOTSSF,Slovenia,Atalanta,ITA 1,2420,90175.06,88438.0,107000.0,89,91.0,87.0,97,95.0,93.0,99.0,99.0,92.0,90.0,97,99.0,94.0,98.0,99.0,85.0,98.0,97,81.0,70.0,95.0,99.0,99.0,92.0,55,58.0,74.0,67.0,40.0,33.0,85,41.0,88.0,91.0,73.0
Griezmann,96,LW,Forward,4,3,28,176,73,HIGH/HIGH,Left,TOTSSF,France,FC Barcelona,ESP 1,2580,431557.74,316000.0,281714.0,96,97.0,96.0,95,99.0,98.0,90.0,91.0,96.0,95.0,93,95.0,91.0,94.0,94.0,90.0,95.0,97,98.0,90.0,99.0,98.0,95.0,97.0,63,54.0,92.0,65.0,59.0,54.0,85,99.0,99.0,74.0,86.0
Modrić,96,CM,Midfielder,4,4,34,172,66,HIGH/HIGH,Right,Flashback,Croatia,Real Madrid,ESP 1,2626,,,,87,90.0,83.0,87,90.0,82.0,90.0,93.0,87.0,93.0,97,99.0,93.0,85.0,99.0,95.0,92.0,98,99.0,99.0,96.0,99.0,94.0,99.0,88,99.0,67.0,83.0,92.0,86.0,86,88.0,99.0,75.0,80.0
De Bruyne,96,CM,Midfielder,4,5,28,181,70,HIGH/HIGH,Right,Inform,Belgium,Manchester City,ENG 1,2494,368713.42,355279.0,501867.0,84,85.0,84.0,94,96.0,89.0,99.0,98.0,89.0,86.0,97,99.0,98.0,87.0,97.0,95.0,89.0,94,84.0,82.0,98.0,98.0,92.0,98.0,67,67.0,60.0,74.0,63.0,56.0,86,69.0,98.0,81.0,83.0
Vela,96,RW,Forward,4,3,30,177,77,HIGH/LOW,Left,TOTSSF,Mexico,Los Angeles FC,USA 1,2466,101736.79,96864.0,113688.0,96,96.0,96.0,97,99.0,99.0,89.0,99.0,97.0,85.0,95,98.0,95.0,86.0,98.0,80.0,99.0,98,94.0,94.0,96.0,99.0,98.0,96.0,44,52.0,95.0,44.0,31.0,19.0,85,82.0,93.0,85.0,72.0
Aduriz,96,ST,Forward,3,4,38,182,78,HIGH/MED,Right,SBCSpecial,Spain,Athletic Club de Bilbao,ESP 1,2470,,,,93,91.0,93.0,97,99.0,98.0,97.0,92.0,94.0,99.0,87,99.0,73.0,73.0,97.0,70.0,82.0,96,70.0,66.0,99.0,99.0,96.0,99.0,63,29.0,99.0,74.0,56.0,63.0,98,99.0,66.0,99.0,99.0
Di María,96,RW,Forward,5,3,31,180,69,HIGH/MED,Left,TOTSSF,Argentina,Paris Saint-Germain,FRA 1,2519,158214.66,117666.5,120000.0,97,98.0,97.0,96,99.0,92.0,99.0,99.0,93.0,88.0,98,99.0,99.0,99.0,96.0,93.0,99.0,97,99.0,85.0,91.0,95.0,97.0,93.0,56,49.0,59.0,47.0,64.0,60.0,80,84.0,91.0,70.0,85.0
Thiago,96,CM,Midfielder,5,4,28,174,70,MED/MED,Right,AwardWinner,Spain,Bayern München,GER 1,2648,,,,89,98.0,82.0,91,97.0,84.0,93.0,97.0,99.0,92.0,96,97.0,88.0,86.0,99.0,98.0,96.0,99,99.0,96.0,94.0,99.0,99.0,95.0,83,99.0,64.0,80.0,80.0,85.0,85,99.0,99.0,79.0,75.0
Sané,96,LM,Midfielder,4,4,23,183,75,HIGH/MED,Left,SBCSpecial,Germany,Bayern München,GER 1,2499,,,,99,96.0,99.0,95,98.0,95.0,99.0,91.0,99.0,83.0,95,98.0,99.0,98.0,96.0,76.0,99.0,98,98.0,91.0,92.0,96.0,99.0,91.0,50,44.0,94.0,47.0,42.0,46.0,86,78.0,95.0,86.0,74.0
Pablo Sarabia,96,CAM,Midfielder,4,4,27,174,70,HIGH/MED,Left,ChampionsLeagueLive,Spain,Paris Saint-Germain,FRA 1,2514,,,,93,91.0,93.0,94,99.0,96.0,94.0,95.0,79.0,85.0,98,99.0,99.0,88.0,99.0,94.0,99.0,98,92.0,93.0,89.0,99.0,99.0,86.0,73,74.0,78.0,76.0,69.0,62.0,80,44.0,99.0,80.0,64.0
Messi,96,RW,Forward,4,4,32,170,72,MED/LOW,Left,UCLTOTT,Argentina,FC Barcelona,ESP 1,2361,1431868.65,1552012.0,731000.0,91,95.0,87.0,94,96.0,97.0,87.0,96.0,89.0,76.0,94,96.0,89.0,96.0,94.0,94.0,95.0,98,94.0,96.0,96.0,98.0,99.0,98.0,42,43.0,75.0,35.0,39.0,28.0,70,72.0,79.0,72.0,50.0
Chiellini,96,CB,Defender,2,3,35,187,85,MED/HIGH,Left,Flashback,Italy,Piemonte Calcio,ITA 1,2268,,,,85,76.0,91.0,53,32.0,38.0,89.0,56.0,51.0,57.0,78,67.0,72.0,41.0,87.0,87.0,80.0,80,73.0,73.0,99.0,78.0,76.0,99.0,98,95.0,90.0,99.0,99.0,96.0,98,99.0,70.0,99.0,99.0
Fekir,96,CAM,Midfielder,4,3,26,173,75,HIGH/MED,Left,TOTSSF,France,Real Betis Balompié,ESP 1,2441,282538.99,254118.0,180750.0,93,94.0,91.0,96,94.0,96.0,98.0,96.0,90.0,86.0,93,93.0,95.0,91.0,95.0,86.0,93.0,97,90.0,99.0,85.0,98.0,99.0,98.0,45,38.0,66.0,42.0,50.0,34.0,91,75.0,87.0,96.0,86.0
Messi,96,CF,Forward,4,4,32,170,72,HIGH/LOW,Left,Shapeshifter,Argentina,FC Barcelona,ESP 1,2365,1676293.0,1550909.0,1052214.0,91,95.0,87.0,95,97.0,98.0,88.0,97.0,90.0,77.0,94,96.0,89.0,96.0,94.0,94.0,95.0,98,94.0,96.0,96.0,98.0,99.0,98.0,41,42.0,73.0,34.0,38.0,27.0,71,73.0,80.0,73.0,51.0
Gómez,96,CAM,Midfielder,4,4,31,165,68,HIGH/MED,Right,TOTSSF,Argentina,Atalanta,ITA 1,2530,352423.71,233000.0,224333.0,98,99.0,93.0,95,99.0,96.0,92.0,96.0,87.0,87.0,97,99.0,97.0,94.0,97.0,88.0,94.0,99,99.0,99.0,93.0,97.0,97.0,96.0,60,61.0,58.0,76.0,46.0,52.0,77,98.0,98.0,64.0,78.0
Hummels,96,CB,Defender,3,3,30,191,94,HIGH/MED,Right,TOTSSF,Germany,Borussia Dortmund,GER 1,2454,101339.15,99250.0,95700.0,76,68.0,81.0,70,67.0,66.0,85.0,61.0,72.0,82.0,92,95.0,77.0,64.0,98.0,99.0,78.0,89,78.0,71.0,99.0,98.0,82.0,99.0,98,98.0,95.0,99.0,98.0,94.0,94,84.0,80.0,99.0,87.0
Sancho,96,RF,Forward,5,4,19,180,76,MED/LOW,Right,TOTSSF,England,Borussia Dortmund,GER 1,2340,495546.35,320392.5,332600.0,98,99.0,96.0,92,99.0,99.0,86.0,79.0,99.0,72.0,94,99.0,95.0,58.0,99.0,72.0,98.0,98,99.0,98.0,91.0,95.0,99.0,87.0,47,37.0,48.0,41.0,58.0,44.0,77,65.0,98.0,75.0,55.0
Kimmich,96,CDM,Midfielder,3,4,24,176,73,HIGH/LOW,Right,TOTSSF,Germany,Bayern München,GER 1,2610,192187.13,143000.0,171500.0,87,93.0,82.0,88,99.0,84.0,96.0,90.0,85.0,56.0,97,94.0,99.0,68.0,98.0,95.0,95.0,95,95.0,95.0,98.0,96.0,93.0,96.0,90,91.0,84.0,88.0,91.0,90.0,88,89.0,99.0,74.0,97.0
Oblak,96,GK,Goalkeeper,1,3,26,188,87,MED/MED,Right,TOTSSF,Slovenia,Atlético de Madrid,ESP 1,0,97040.3,98500.0,91600.0,95,,,98,,,,,,,85,,,,,,,95,,,,,,,55,,,,,,96,,,,
Zidane,96,CAM,Midfielder,5,5,47,185,77,MED/MED,Right,Icon,France,Icons,ICO,2521,4845284.28,3706000.0,3834500.0,85,85.0,82.0,92,92.0,91.0,89.0,92.0,92.0,87.0,96,95.0,92.0,92.0,97.0,95.0,89.0,95,75.0,86.0,96.0,97.0,96.0,95.0,75,85.0,87.0,64.0,78.0,67.0,86,75.0,88.0,88.0,74.0
Sergio Ramos,96,CB,Defender,3,3,33,184,82,HIGH/MED,Right,TOTSSF,Spain,Real Madrid,ESP 1,2569,757068.9,777000.0,496750.0,91,93.0,89.0,80,78.0,74.0,92.0,72.0,81.0,99.0,85,80.0,74.0,81.0,90.0,94.0,83.0,84,88.0,74.0,98.0,94.0,73.0,95.0,97,98.0,99.0,94.0,97.0,99.0,94,99.0,88.0,94.0,99.0
Kroos,96,CM,Midfielder,3,5,29,183,76,MED/MED,Right,TOTSSF,Germany,Real Madrid,ESP 1,2524,123117.42,126000.0,98500.0,81,90.0,73.0,90,84.0,84.0,97.0,96.0,92.0,82.0,98,96.0,95.0,91.0,99.0,99.0,93.0,96,71.0,84.0,99.0,99.0,94.0,99.0,86,93.0,71.0,88.0,86.0,76.0,86,37.0,92.0,90.0,74.0
Ronaldo,96,ST,Forward,5,5,42,183,78,MED/MED,Right,Icon,Brazil,Icons,ICO,2341,11469826.79,11155537.5,13100463.0,97,97.0,97.0,95,95.0,98.0,93.0,90.0,96.0,89.0,81,81.0,75.0,90.0,86.0,73.0,87.0,95,91.0,85.0,95.0,96.0,97.0,89.0,45,41.0,84.0,39.0,44.0,38.0,76,82.0,81.0,85.0,47.0
de Ligt,96,CB,Defender,2,4,20,189,89,MED/HIGH,Right,TOTY,Netherlands,Piemonte Calcio,ITA 1,2424,673630.19,574000.0,270500.0,85,77.0,91.0,75,56.0,64.0,99.0,82.0,51.0,51.0,86,82.0,67.0,71.0,99.0,96.0,62.0,88,71.0,76.0,99.0,94.0,84.0,99.0,96,94.0,98.0,99.0,94.0,92.0,96,96.0,88.0,99.0,93.0
Agüero,96,ST,Forward,4,4,31,173,70,HIGH/MED,Right,TOTSSF,Argentina,Manchester City,ENG 1,2443,912944.83,721416.5,414400.0,95,97.0,92.0,97,99.0,99.0,95.0,90.0,91.0,89.0,89,95.0,80.0,84.0,95.0,73.0,95.0,98,93.0,99.0,99.0,99.0,98.0,99.0,40,29.0,94.0,36.0,35.0,29.0,89,97.0,95.0,89.0,78.0
Aubameyang,96,ST,Forward,4,4,30,187,80,HIGH/LOW,Right,TOTSSF,Gabon,Arsenal,ENG 1,2448,852921.74,779746.0,681625.0,99,97.0,99.0,98,99.0,99.0,94.0,91.0,99.0,87.0,90,92.0,91.0,88.0,92.0,76.0,96.0,95,90.0,81.0,99.0,97.0,93.0,99.0,45,58.0,94.0,32.0,30.0,43.0,84,96.0,94.0,90.0,52.0
Martínez,96,ST,Forward,4,4,22,174,81,HIGH/MED,Right,TOTSSF,Argentina,Inter,ITA 1,2494,545173.0,353538.0,340000.0,96,96.0,96.0,96,99.0,99.0,98.0,86.0,86.0,82.0,88,98.0,72.0,42.0,93.0,94.0,98.0,98,99.0,87.0,93.0,98.0,98.0,92.0,60,46.0,99.0,84.0,33.0,37.0,98,99.0,92.0,99.0,99.0
Cruyff,96,CF,Forward,5,5,72,180,71,HIGH/LOW,Right,IconMoment,Netherlands,Icons,ICO,2418,10763598.27,10449910.5,11265462.0,93,95.0,90.0,96,98.0,98.0,90.0,97.0,99.0,90.0,93,96.0,90.0,84.0,94.0,91.0,94.0,98,95.0,86.0,99.0,99.0,97.0,99.0,43,44.0,67.0,41.0,37.0,41.0,77,73.0,86.0,73.0,75.0
Ziyech,96,CAM,Midfielder,5,3,26,181,65,HIGH/MED,Left,TOTSSF,Morocco,Ajax,NED 1,2517,125603.54,101690.5,106167.0,92,95.0,88.0,95,99.0,92.0,99.0,97.0,93.0,84.0,99,99.0,96.0,89.0,99.0,99.0,99.0,96,99.0,90.0,97.0,96.0,96.0,89.0,64,66.0,67.0,56.0,71.0,51.0,84,47.0,99.0,73.0,92.0
Handanovic,96,GK,Goalkeeper,1,2,35,193,92,MED/MED,Right,EuropaLeagueLive,Slovenia,Inter,ITA 1,0,91887.47,92944.5,102733.0,98,,,97,,,,,,,84,,,,,,,98,,,,,,,62,,,,,,98,,,,
